name,var_name,resp,freq,abs_freq,stop
igbtun,NGRAM_OCCUR_L2_Ad Landing Page,0.251351764,0.041450777,8,FALSE
instagram com,NGRAM_OCCUR_L2_Ad Landing Page,-0.187634382,0.191709845,37,FALSE
defend the,NGRAM_OCCUR_L2_Ad Landing Page,0.134882405,0.020725389,4,TRUE
blacktivist 12837154,NGRAM_OCCUR_L2_Ad Landing Page,0.373723658,0.088082902,17,FALSE
savethe2a,NGRAM_OCCUR_L2_Ad Landing Page,0.06277362,0.067357513,13,FALSE
woke,NGRAM_OCCUR_L2_Ad Landing Page,0.112425564,0.176165803,34,FALSE
https blackmattersus,NGRAM_OCCUR_L2_Ad Landing Page,-0.196655834,0.362694301,70,FALSE
8.96611E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.070574394,0.093264249,18,FALSE
on,NGRAM_OCCUR_L2_Ad Landing Page,-0.066805715,0.077720207,15,TRUE
1.66717E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.011749307,0.010362694,2,FALSE
events 1748220542079708,NGRAM_OCCUR_L2_Ad Landing Page,-0.045257899,0.031088083,6,FALSE
william,NGRAM_OCCUR_L2_Ad Landing Page,-0.108274501,0.062176166,12,FALSE
blacktivist 128371547505950,NGRAM_OCCUR_L2_Ad Landing Page,0.310271405,0.207253886,40,FALSE
2016 presidential,NGRAM_OCCUR_L2_Ad Landing Page,0.016423837,0.010362694,2,FALSE
america,NGRAM_OCCUR_L2_Ad Landing Page,-0.044074913,0.046632124,9,FALSE
posts,NGRAM_OCCUR_L2_Ad Landing Page,-0.045796956,0.010362694,2,FALSE
copsareheroes,NGRAM_OCCUR_L2_Ad Landing Page,0.999984841,0.010362694,2,FALSE
com williamskalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.049137359,0.056994819,11,FALSE
skalvin 788980617892144,NGRAM_OCCUR_L2_Ad Landing Page,-0.052481819,0.046632124,9,FALSE
hblackmattersus com,NGRAM_OCCUR_L2_Ad Landing Page,-0.108794357,0.18134715,35,FALSE
panafrootsmove,NGRAM_OCCUR_L2_Ad Landing Page,-0.1213542,0.129533679,25,FALSE
5.22629E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.045848613,0.041450777,8,FALSE
nefertitis community,NGRAM_OCCUR_L2_Ad Landing Page,-0.056131927,0.03626943,7,FALSE
com army,NGRAM_OCCUR_L2_Ad Landing Page,0.108521008,0.020725389,4,FALSE
army,NGRAM_OCCUR_L2_Ad Landing Page,0.108509045,0.020725389,4,FALSE
blackmattersus com,NGRAM_OCCUR_L2_Ad Landing Page,-0.197781719,0.362694301,70,FALSE
com wiiiiamsandkalvin,NGRAM_OCCUR_L2_Ad Landing Page,0.046918268,0.046632124,9,FALSE
www instagram,NGRAM_OCCUR_L2_Ad Landing Page,-0.151722535,0.165803109,32,FALSE
comnvilliam sandkaivin,NGRAM_OCCUR_L2_Ad Landing Page,0.085080963,0.077720207,15,FALSE
secured,NGRAM_OCCUR_L2_Ad Landing Page,-0.073334906,0.098445596,19,FALSE
com copsareheroes,NGRAM_OCCUR_L2_Ad Landing Page,1,0.010362694,2,FALSE
4.50475E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.071107829,0.393782383,76,FALSE
police officer,NGRAM_OCCUR_L2_Ad Landing Page,0.048298178,0.010362694,2,FALSE
liam skalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.040974321,0.03626943,7,FALSE
williamsandkalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.109115464,0.077720207,15,FALSE
memopolis 450474615151098,NGRAM_OCCUR_L2_Ad Landing Page,-0.061240141,0.393782383,76,FALSE
com blackluive,NGRAM_OCCUR_L2_Ad Landing Page,-0.041303706,0.015544041,3,FALSE
362365657,NGRAM_OCCUR_L2_Ad Landing Page,-0.014920958,0.010362694,2,FALSE
jesus 1195795607160174,NGRAM_OCCUR_L2_Ad Landing Page,0.093160876,0.010362694,2,FALSE
com bm,NGRAM_OCCUR_L2_Ad Landing Page,-0.04582873,0.025906736,5,FALSE
matters,NGRAM_OCCUR_L2_Ad Landing Page,-0.115489341,0.637305699,123,FALSE
com south_united,NGRAM_OCCUR_L2_Ad Landing Page,-0.016623782,0.015544041,3,FALSE
to,NGRAM_OCCUR_L2_Ad Landing Page,-0.072243801,0.082901554,16,TRUE
dont shoot,NGRAM_OCCUR_L2_Ad Landing Page,0.09147677,0.212435233,41,FALSE
blacktivist,NGRAM_OCCUR_L2_Ad Landing Page,0.646906726,0.305699482,59,FALSE
info,NGRAM_OCCUR_L2_Ad Landing Page,-0.167841441,0.129533679,25,FALSE
12837154 505950,NGRAM_OCCUR_L2_Ad Landing Page,0.37240727,0.088082902,17,FALSE
blackluive,NGRAM_OCCUR_L2_Ad Landing Page,-0.041277754,0.015544041,3,FALSE
16611,NGRAM_OCCUR_L2_Ad Landing Page,-0.009024196,0.010362694,2,FALSE
defense,NGRAM_OCCUR_L2_Ad Landing Page,-0.052023486,0.062176166,12,FALSE
facebook comnviiiiamsandkaivin,NGRAM_OCCUR_L2_Ad Landing Page,-0.055010485,0.062176166,12,FALSE
com being,NGRAM_OCCUR_L2_Ad Landing Page,-0.054631724,0.07253886,14,TRUE
face,NGRAM_OCCUR_L2_Ad Landing Page,-0.031244672,0.020725389,4,FALSE
matters 1579673598947501,NGRAM_OCCUR_L2_Ad Landing Page,-0.068463949,0.575129534,111,FALSE
lacks 294234600956431,NGRAM_OCCUR_L2_Ad Landing Page,-0.041824844,0.025906736,5,FALSE
com stoptherefugees,NGRAM_OCCUR_L2_Ad Landing Page,-0.091273708,0.03626943,7,FALSE
patriototus,NGRAM_OCCUR_L2_Ad Landing Page,0.214570853,0.191709845,37,FALSE
blacktivist 28371547505950,NGRAM_OCCUR_L2_Ad Landing Page,-0.035238537,0.010362694,2,FALSE
lgbt,NGRAM_OCCUR_L2_Ad Landing Page,-0.090651341,0.212435233,41,FALSE
army of,NGRAM_OCCUR_L2_Ad Landing Page,0.108514613,0.020725389,4,TRUE
jesus,NGRAM_OCCUR_L2_Ad Landing Page,0.108474309,0.020725389,4,FALSE
defend,NGRAM_OCCUR_L2_Ad Landing Page,0.134901537,0.020725389,4,FALSE
com igbtun,NGRAM_OCCUR_L2_Ad Landing Page,0.251231232,0.041450777,8,FALSE
2nd,NGRAM_OCCUR_L2_Ad Landing Page,0.134876993,0.020725389,4,FALSE
lgbt united,NGRAM_OCCUR_L2_Ad Landing Page,-0.091290543,0.212435233,41,FALSE
stop,NGRAM_OCCUR_L2_Ad Landing Page,-0.085411605,0.10880829,21,FALSE
com iloveblackexcellence,NGRAM_OCCUR_L2_Ad Landing Page,-0.065644211,0.056994819,11,FALSE
rt,NGRAM_OCCUR_L2_Ad Landing Page,-0.042469806,0.015544041,3,FALSE
the,NGRAM_OCCUR_L2_Ad Landing Page,0.075085707,0.077720207,15,TRUE
events 707140032898957,NGRAM_OCCUR_L2_Ad Landing Page,-0.007646205,0.010362694,2,FALSE
black,NGRAM_OCCUR_L2_Ad Landing Page,-0.271428086,0.932642487,180,FALSE
com lgbt,NGRAM_OCCUR_L2_Ad Landing Page,-0.090527079,0.212435233,41,FALSE
shoot,NGRAM_OCCUR_L2_Ad Landing Page,0.09202918,0.212435233,41,FALSE
born liberal,NGRAM_OCCUR_L2_Ad Landing Page,-0.045917673,0.041450777,8,FALSE
born,NGRAM_OCCUR_L2_Ad Landing Page,-0.045765127,0.041450777,8,FALSE
black4black,NGRAM_OCCUR_L2_Ad Landing Page,-0.10922002,0.129533679,25,FALSE
1.28372E+14,NGRAM_OCCUR_L2_Ad Landing Page,0.271057497,0.222797927,43,FALSE
com stop,NGRAM_OCCUR_L2_Ad Landing Page,-0.070571155,0.093264249,18,FALSE
stop al,NGRAM_OCCUR_L2_Ad Landing Page,-0.064707396,0.077720207,15,FALSE
1.57233E+14,NGRAM_OCCUR_L2_Ad Landing Page,0.054061596,0.103626943,20,FALSE
com patriototus,NGRAM_OCCUR_L2_Ad Landing Page,0.21382865,0.191709845,37,FALSE
brownunitedfront,NGRAM_OCCUR_L2_Ad Landing Page,0.699711301,0.538860104,104,FALSE
com blacktivist,NGRAM_OCCUR_L2_Ad Landing Page,0.666402339,0.300518135,58,FALSE
liam,NGRAM_OCCUR_L2_Ad Landing Page,-0.040963134,0.03626943,7,FALSE
black4black 1268698556482143,NGRAM_OCCUR_L2_Ad Landing Page,-0.09759065,0.119170984,23,FALSE
com nefertitis,NGRAM_OCCUR_L2_Ad Landing Page,-0.056146682,0.03626943,7,FALSE
shoot 157233400960126,NGRAM_OCCUR_L2_Ad Landing Page,0.054201921,0.103626943,20,FALSE
1.74822E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.045343677,0.031088083,6,FALSE
blacks,NGRAM_OCCUR_L2_Ad Landing Page,0.151393708,0.165803109,32,FALSE
musicfb info,NGRAM_OCCUR_L2_Ad Landing Page,-0.136952025,0.113989637,22,FALSE
com black4black,NGRAM_OCCUR_L2_Ad Landing Page,-0.096918998,0.119170984,23,FALSE
protectblackgunowners,NGRAM_OCCUR_L2_Ad Landing Page,-0.130242903,0.07253886,14,FALSE
blacktivists shop,NGRAM_OCCUR_L2_Ad Landing Page,-0.042053906,0.015544041,3,FALSE
community,NGRAM_OCCUR_L2_Ad Landing Page,-0.056167918,0.03626943,7,FALSE
dont,NGRAM_OCCUR_L2_Ad Landing Page,0.092478356,0.212435233,41,FALSE
william sandkaivin,NGRAM_OCCUR_L2_Ad Landing Page,-0.108520482,0.062176166,12,FALSE
com godblessthesouth,NGRAM_OCCUR_L2_Ad Landing Page,0.065950339,0.010362694,2,FALSE
for,NGRAM_OCCUR_L2_Ad Landing Page,-0.061320309,0.062176166,12,TRUE
com savethe2a,NGRAM_OCCUR_L2_Ad Landing Page,0.062960056,0.067357513,13,FALSE
blacks 294234600956431,NGRAM_OCCUR_L2_Ad Landing Page,0.176915185,0.155440415,30,FALSE
in,NGRAM_OCCUR_L2_Ad Landing Page,-0.058343575,0.10880829,21,TRUE
com born,NGRAM_OCCUR_L2_Ad Landing Page,-0.045888743,0.041450777,8,FALSE
rid,NGRAM_OCCUR_L2_Ad Landing Page,-0.042483831,0.015544041,3,FALSE
united,NGRAM_OCCUR_L2_Ad Landing Page,-0.156448074,0.310880829,60,FALSE
com brownunitedfronu,NGRAM_OCCUR_L2_Ad Landing Page,0.046080286,0.010362694,2,FALSE
instagram,NGRAM_OCCUR_L2_Ad Landing Page,-0.18908694,0.191709845,37,FALSE
woke lacks,NGRAM_OCCUR_L2_Ad Landing Page,-0.041815584,0.025906736,5,FALSE
self defense,NGRAM_OCCUR_L2_Ad Landing Page,-0.052050464,0.062176166,12,FALSE
wiiiiamsandkalvin,NGRAM_OCCUR_L2_Ad Landing Page,0.04715122,0.046632124,9,FALSE
al 896610653786585,NGRAM_OCCUR_L2_Ad Landing Page,-0.064668986,0.077720207,15,FALSE
com panafrootsmove,NGRAM_OCCUR_L2_Ad Landing Page,-0.120270153,0.129533679,25,FALSE
musicfb,NGRAM_OCCUR_L2_Ad Landing Page,-0.136896779,0.113989637,22,FALSE
com blackjourney2justice,NGRAM_OCCUR_L2_Ad Landing Page,0.134115914,0.03626943,7,FALSE
